Navn;Ticker;ISIN;Valuta;I dag %;I dag +/-;Siste;;Kjøp;Selg;Høy;Lav;Omsetning;1 uke %;1 måned %;3 måneder %;i år %;1 år %;3 år %;5 år %;10 år %;PE;PS;PB;EPS;Direkteavkastning %;Dividend Per Share;Belåningsgrad %;Kan shortes;Market Cap;Antall eiere;Report Description;General Meeting Date;Excluding Date;Dividend Date;Dividend Amount
Gubra A/S;GUBRA;DK0062266474;DKK;−2,24;−14;610;624;610;610;626;606;17768188;−0,65;−15,51;29,79;−2,24;391,86;;;;−219,22;45;21;−2,81;0;0;10;Nei;10038717642;8267;28.2.2025 (Kvartalsrapport (4. kvartal));;;; 
Dataproces Group A/S;DATA;DK0061408580;DKK;−2,52;−0,15;5,8;5,95;5,7;5,8;5,95;5,6;446782,75;−2,52;2,65;12,62;−1,69;180,19;7,41;;;22,69;4,01;9,53;0,26;0;0;0;Nei;200010248;1428;6.3.2025 (Kvartalsrapport (3. kvartal));15.8.2025;;; 
MT Højgaard Holding A/S;MTHH;DK0010255975;DKK;2,25;7;318;311;317;318;325;312;4235203;11,97;16,48;56,65;10,03;166,11;45,87;265,52;53,62;12,41;0,25;2,97;25,95;0;0;40;Nei;2491862080;850;20.2.2025 (Kvartalsrapport (4. kvartal));19.3.2025;;; 
BactiQuant A/S;BACTIQ;DK0061417730;DKK;1,4;0,1;7,25;7,15;7,25;7,25;8,2;7,2;6666985,7;101,39;77,7;19,83;113,24;154,39;−16,69;;;−11,64;19,49;12,15;−0,64;0;0;0;Nei;178580886;5098;20.3.2025 (Kvartalsrapport (4. kvartal));24.4.2025;;; 
Harboes Bryggeri B A/S;HARB B;DK0060014751;DKK;−1,53;−2,5;160,5;163;160;162,5;164,5;159;1063586;3,88;−10,59;−20,94;5,25;139,55;78,33;167,5;94,55;14,13;0,53;1,33;11,46;1,23;2;20;Nei;972000000;2060;26.3.2025 (Kvartalsrapport (3. kvartal));;;; 
Penneo A/S;PENNEO;DK0061283009;DKK;0,94;0,15;16,05;15,9;16,05;16,15;16,15;15,9;3493802,4;1,9;1,9;87,5;0,94;115,15;−12,49;;;−37,21;5,75;5,8;−0,43;0;0;0;Nei;545460192;2813;5.3.2025 (Kvartalsrapport (4. kvartal));;;; 
ViroGates A/S;VIRO;DK0061030574;DKK;21,82;2,4;13,4;11;12,5;13,5;13,5;11,4;112631,2;12,61;0;133,04;26,42;110,03;−87,94;−50,22;;−6,13;22,29;5,5;−1,97;0;0;0;Nei;93618474;953;20.3.2025 (Kvartalsrapport (4. kvartal));24.4.2025;;; 
Zealand Pharma A/S;ZEAL;DK0060257814;DKK;−1,92;−14;714;728;714;714;724,5;693;166181764,4;−0,83;−1,79;−12,45;−0,21;100,79;392,07;210,71;750;−45,77;650,92;31,41;−15,39;0;0;60;Ja;49858757442;19765;20.2.2025 (Kvartalsrapport (4. kvartal));;;; 
Freetrailer Group A/S;FREETR;DK0061026119;DKK;2,5;1,4;57,4;56;57,2;57,4;58,8;56,8;406205,4;3,24;11,67;23,44;−3,37;93,92;15,03;1071,43;;40;4,95;13,28;1,46;0;0;10;Nei;558965322;3254;20.2.2025 (Kvartalsrapport (2. kvartal));;;; 
Spar Nord Bank A/S;SPNO;DK0060036564;DKK;0;0;205,5;205,5;205,5;205,5;206;205,5;47023439,2;0;47;64,14;−0,24;91,88;145,81;211,36;245,38;10,56;4,54;1,78;19,5;4,85;10;70;Ja;24246618386;3871;5.2.2025 (Kvartalsrapport (4. kvartal));18.3.2025;;; 
Nexcom A/S;NEXCOM;DK0061417144;DKK;−5,86;−0,28;4,5;4,78;4,5;4,8;4,8;4,14;245325,64;16,58;2,74;9,22;−4,26;74,42;20;;;−6,8;9,55;17;−0,71;0;0;0;Nei;108633274;725;;;;; 
Silkeborg IF Invest A/S;SIF;DK0010128008;DKK;0;0;37,6;37,6;36,4;37,6;37,6;36,2;169819,8;5,62;−3,59;18,99;4,44;72,48;152,35;152,35;782,63;9,86;2,41;1,04;3,71;0;0;0;Nei;362398487;482;14.3.2025 (Kvartalsrapport (4. kvartal));24.4.2025;;; 
UIE Plc;UIE;MT0002400118;DKK;0;0;323;323;323;323;326;318;3012290;8,75;2,54;17,88;6,25;70;73,66;143,77;237,87;9,31;3,29;1,52;34,47;6,31;20,26;70;Nei;10345088490;1747;;;;; 
WindowMaster International A/S;WMA;DK0061278355;DKK;1,38;0,1;7,36;7,26;7,36;7,36;7,4;7,12;151057,72;−0,54;13,23;4,25;2,51;67,27;−7,07;;;−27,85;0,4;4,05;−0,26;0;0;0;Nei;105363676;1170;19.3.2025 (Kvartalsrapport (4. kvartal));10.4.2025;;; 
Cessatech A/S;CESSA;DK0061411964;DKK;0,84;0,1;11,95;11,85;11,75;11,85;12,3;11,55;109373,6;−5,91;−8,78;2,14;1,27;61,49;−28,95;;;−11,15;60,42;−105,73;−1,04;0;0;0;Nei;206487364;3240;28.2.2025 (Kvartalsrapport (4. kvartal));;;; 
