Navn;Ticker;ISIN;Valuta;I dag %;I dag +/-;Siste;;Kjøp;Selg;Høy;Lav;Omsetning;1 uke %;1 måned %;3 måneder %;i år %;1 år %;3 år %;5 år %;10 år %;PE;PS;PB;EPS;Direkteavkastning %;Dividend Per Share;Belåningsgrad %;Kan shortes;Market Cap;Antall eiere;Report Description;General Meeting Date;Excluding Date;Dividend Date;Dividend Amount
Nexstim Oyj;NXTMH;FI4000506811;EUR;−2,97;−0,26;8,5;8,76;8,5;8,5;8,7;8,3;178079,18;1,67;45,55;95,85;7,59;215,99;77,82;270,07;−98,6;−57,24;7,57;21,13;−0,15;0;0;10;Nei;59729045;4521;27.2.2025 (Kvartalsrapport (4. kvartal));;;; 
QPR Software Plc;QPR1V;FI0009008668;EUR;0,45;0,004;0,9;0,896;0,9;0,9;0,928;0,896;30988,57;11,39;64,23;49,5;11,11;163,93;−48,69;−59,78;−7,84;−31,38;2,61;46,37;−0,03;0;0;0;Nei;16539425;656;14.2.2025 (Kvartalsrapport (4. kvartal));18.6.2025;;; 
Nightingale Health Oyj B;HEALTH;FI4000490875;EUR;−0,66;−0,02;3,02;3,04;3,02;3,02;3,1;2,97;108545,99;10,22;3,42;−4,43;4,86;141,99;−17,85;;;−10,41;42,2;2,22;−0,29;0;0;0;Nei;184612079;7664;6.3.2025 (Kvartalsrapport (2. kvartal));;;; 
Springvest Oyj;SPRING;FI4000369442;EUR;−2,52;−0,2;7,75;7,95;7,75;7,95;7,95;7,75;9005,05;−1,9;−6,63;9,15;−2,52;76,14;−4,79;;;41,84;0;340,71;0,19;1,26;0,1;0;Nei;44291748;563;12.2.2025 (Kvartalsrapport (4. kvartal));13.3.2025;;; 
Purmo Group Oyj C;PURMO;FI4000507488;EUR;1,78;0,2;11,45;11,25;11,25;11,45;11,45;11,25;14802,35;1,78;0,44;1,78;1,78;66,91;−19,37;;;−20,45;0,65;1,06;−0,55;3,2;0,36;40;Nei;480126712;425;;;16.1.2025;24.1.2025;0.09 EUR
Harvia Plc;HARVIA;FI4000306873;EUR;−1,15;−0,5;42,95;43,45;42,95;42,95;43,8;42,95;419032,95;0,23;−3,05;−6,02;0,23;58,84;−26,83;331,22;;31,04;4,93;7,42;1,39;1,58;0,68;60;Ja;805721572;16187;13.2.2025 (Kvartalsrapport (4. kvartal));8.4.2025;;; 
Pihlajalinna Oyj;PIHLIS;FI4000092556;EUR;1,84;0,2;11,05;10,85;10,85;11,05;11,05;10,75;22465,4;5,24;−3,07;13,22;5,24;55,63;−12,58;−27,59;;21,7;0,35;1,69;0,5;0,65;0,07;60;Nei;245428465;5259;12.2.2025 (Kvartalsrapport (4. kvartal));24.4.2025;;; 
Konecranes Plc;KCR;FI0009005870;EUR;−0,56;−0,35;61,7;62,05;61,7;61,7;62,05;61,4;3642754,42;−0,08;−4,86;−8,73;0,82;54,56;75,48;119,34;157,94;13,69;1,17;3,07;4,51;2,19;1,35;80;Ja;4891952696;13259;7.2.2025 (Kvartalsrapport (4. kvartal));27.3.2025;;; 
Viafin Service Oyj;VIAFIN;FI4000349212;EUR;1,06;0,2;19;18,8;19;19;19,1;19;2057;−0,52;−1,55;2,7;−1,04;49,02;29,69;115,91;;17,09;0,83;2,75;1,1;2,93;0,55;10;Nei;68221346;841;24.2.2025 (Kvartalsrapport (4. kvartal));29.4.2025;;; 
Wulff Group Plc;WUF1V;FI0009008452;EUR;0;0;3,07;3,07;3,05;3,06;3,07;3,07;1636,31;0,66;5,14;4,78;0;45,5;−37,6;69,61;211,68;9,03;0,22;0,96;0,34;4,89;0,15;10;Nei;21206418;996;17.2.2025 (Kvartalsrapport (4. kvartal));3.4.2025;;; 
Heeros Oyj;HEEROS;FI4000127527;EUR;0;0;5,45;5,45;5,45;5,5;5,5;5,45;8649,2;0;0,93;29,76;0;41,56;2,83;123,36;;41,92;2,59;3,96;0,13;0;0;0;Nei;29218082;408;4.2.2025 (Kvartalsrapport (4. kvartal));18.3.2025;;; 
Endomines Finland Oyj;PAMPALO;FI4000508023;EUR;2,59;0,22;8,72;8,5;8,72;8,72;8,74;8,42;97268,34;10,66;10,38;5,31;5,57;40,65;;;;−18,84;4,18;2,86;−0,45;0;0;0;Nei;92271847;2359;13.2.2025 (Kvartalsrapport (4. kvartal));13.5.2025;;; 
Alexandria Group Oyj;ALEX;FI4000153465;EUR;0,57;0,05;8,85;8,8;8,85;9;9,2;8,85;6297,25;4,12;0,57;12,74;−3,8;40,03;9,94;;;9,95;2,1;95,35;0,92;8,52;0,78;20;Nei;95346386;1244;13.2.2025 (Kvartalsrapport (4. kvartal));;;; 
