Navn;Ticker;ISIN;Valuta;I dag %;I dag +/-;Siste;;Kjøp;Selg;Høy;Lav;Omsetning;1 uke %;1 måned %;3 måneder %;i år %;1 år %;3 år %;5 år %;10 år %;PE;PS;PB;EPS;Direkteavkastning %;Dividend Per Share;Belåningsgrad %;Kan shortes;Market Cap;Antall eiere;Report Description;General Meeting Date;Excluding Date;Dividend Date;Dividend Amount
NORDIC FINANCIALS ASA;NOFIN;NO0012958539;NOK;−23,61;−0,085;0,275;0,36;0,18;0,4;0,33;0,275;221047;960,06;3430,14;2044,77;−21,43;222,46;52,94;152,4;143,62;−9,94;8,05;3,97;−0,03;0;0;0;Nei;324542059;2509;28.2.2025 (Kvartalsrapport (4. kvartal));28.5.2025;;; 
KONGSBERG GRUPPEN;KOG;NO0003043309;NOK;−1,73;−22;1251;1273;1237;1260;1270;1233;281412237;−3,1;−6,01;14,14;−2,27;165,61;337,41;774,21;1061,29;45;4,63;13,18;27,42;1,13;14;85;Ja;217263483515;33738;7.2.2025 (Kvartalsrapport (4. kvartal));8.5.2025;;; 
LOKOTECH GROUP AS;LOKO;NO0010921299;NOK;−4,91;−0,095;1,84;1,935;1,8;1,895;1,925;1,835;1816052;−4,17;34,31;126,6;−2,39;138,96;75,27;;;−8,53;0;6,51;−0,22;0;0;0;Nei;335277804;1079;31.3.2025 (Kvartalsrapport (4. kvartal));2.6.2025;;; 
XPLORA TECHNOLOGIES;XPLRA;NO0010895782;NOK;1,55;0,5;32,7;32,2;30,8;34;32,7;30,6;774815;−2,39;0,62;50,69;3,81;136,96;12,37;;;−149,37;1,81;4,29;−0,21;0;0;20;Nei;1404180516;876;28.2.2025 (Kvartalsrapport (4. kvartal));23.5.2025;;; 
MORROW BANK ASA;MOBA;NO0010694029;NOK;−1,76;−0,16;8,94;9,1;8,92;9,04;9,1;8,9;2710601;−2,83;6,94;51,01;−4,08;130,41;15,65;−29,61;;12,65;1,71;0,9;0,71;0;0;50;Nei;2063341658;1948;13.2.2025 (Kvartalsrapport (4. kvartal));10.4.2025;;; 
NAPATECH;NAPA;DK0060520450;NOK;−1,08;−0,3;27,6;27,9;25,7;0;28;27,5;376061;11,29;24,32;−11,54;8,24;108,3;120,8;506,59;391,12;−25,27;13,07;16,48;−1,1;0;0;40;Nei;2759907871;1626;20.3.2025 (Kvartalsrapport (4. kvartal));24.4.2025;;; 
THOR MEDICAL ASA;TRMED;NO0010597883;NOK;−1,65;−0,045;2,68;2,725;2,615;2,74;2,76;2,65;2501579;0,75;−12,28;98,52;1,9;98,52;−88,22;−91,54;−90,2;164,33;−943,16;2,78;0,02;0;0;10;Nei;746109771;9652;26.2.2025 (Kvartalsrapport (4. kvartal));24.4.2025;;; 
NORCONSULT ASA;NORCO;NO0013052209;NOK;−0,34;−0,15;43,45;43,6;43;44,5;43,95;43,4;12938112;1,05;3,58;25,4;−1,81;84,11;;;;34,45;1,33;6,56;1,27;2,61;1,14;50;Nei;13615287969;5397;18.2.2025 (Kvartalsrapport (4. kvartal));5.5.2025;;; 
PEXIP HOLDING;PEXIP;NO0010840507;NOK;2,62;1,15;45;43,85;43,5;47,05;45;43,25;6641221;−0,66;0;20,48;2,51;79,43;9,76;;;0;4,31;2,97;0;0;0;30;Ja;4615791458;3561;13.2.2025 (Kvartalsrapport (4. kvartal));25.4.2025;;; 
ENDÚR;ENDUR;NO0012555459;NOK;−1,14;−0,8;69,5;70,3;69,3;69,8;70;69,2;3538408;−1,84;9,11;18,2;0,14;78,66;101,74;9,45;−25,65;399,59;1,01;2,15;0,17;0;0;30;Nei;2567693640;2540;25.2.2025 (Kvartalsrapport (4. kvartal));20.5.2025;;; 
SATS;SATS;NO0010863285;NOK;−1,51;−0,4;26,1;26,5;26;26,45;26,6;26,05;4050637;1,16;5,45;26,09;−1,51;74,93;23,7;14,73;;18,71;1,08;5,26;1,4;0;0;50;Nei;5352763476;3803;12.2.2025 (Kvartalsrapport (4. kvartal));28.4.2025;;; 
REACH SUBSEA;REACH;NO0003117202;NOK;−0,76;−0,06;7,8;7,86;7,6;8,16;7,96;7,62;1745002;1,3;−15,03;0;−1,02;74,89;157,61;394,08;148,15;8,7;0,84;2,27;0,89;4,65;0,36;50;Nei;2159603453;2146;13.2.2025 (Kvartalsrapport (4. kvartal));28.5.2025;;; 
PETRONOR E&P ASA;PNOR;NO0012942525;NOK;5,16;0,68;13,86;13,18;13,66;13,9;13,86;13,2;10234657;13,79;38,05;57,5;8,62;72,09;58,4;40,27;−47,17;2,45;0,82;1,01;5,47;0;0;30;Nei;1944594639;4158;19.2.2025 (Kvartalsrapport (4. kvartal));29.5.2025;27.1.2025;31.1.2025;2 NOK
SKANDIA GREENPOWER AS;SKAND;NO0010931207;NOK;−0,46;−0,005;1,085;1,09;0,93;1,09;1,09;1,04;2992;0;2,84;−13,55;2,36;71,68;−86,77;;;2,34;0,59;8,76;0,46;0;0;0;Nei;130493992;362;25.3.2025 (Kvartalsrapport (4. kvartal));11.4.2025;;; 
NORBIT;NORBT;NO0010856511;NOK;−0,1;−0,1;96,3;96,4;94,1;97;97;95;2170420;2,45;−0,72;16,59;−0,31;68,95;207,67;372,06;;33,98;3,85;7,73;2,83;2,49;2,4;60;Nei;6145502603;3028;13.2.2025 (Kvartalsrapport (4. kvartal));6.5.2025;;; 
NORDHEALTH AS A-AKSJER;NORDH;NO0011002651;NOK;1,67;0,7;42,7;42;0;0;42,7;42;9387;7,29;−3,83;16,99;−3,83;68,11;6,75;;;−28,54;5,63;3,69;−1,5;0;0;0;Nei;3424187554;158;4.3.2025 (Kvartalsrapport (4. kvartal));27.5.2025;;; 
PROTECTOR FORSIKRING;PROT;NO0010209331;NOK;0;0;292,5;292,5;286,5;297;293;287,5;6888303;2,27;−0,17;22,38;2,63;61,07;169,83;455,03;640,51;12,24;2,15;5,33;23,9;1,71;5;70;Ja;24090000000;4320;30.1.2025 (Kvartalsrapport (4. kvartal));10.4.2025;;; 
CRAYON GROUP HOLDING;CRAYN;NO0010808892;NOK;2,71;3,4;128,8;125,4;125,1;129,7;128,9;124;34991254;3,04;2,22;8,33;3,21;60,6;−29,62;140,3;;83,03;1,62;4,48;1,52;0;0;70;Ja;11331227886;3564;12.2.2025 (Kvartalsrapport (4. kvartal));7.5.2025;;; 
EQVA ASA;EQVA;NO0010708605;NOK;0,62;0,03;4,85;4,82;4,71;4,89;4,85;4,7;43239;5,9;4,08;−9,85;1,89;59,54;−30,12;53,48;−81,7;7,29;0,41;1,12;0,65;0;0;0;Nei;354361242;1929;27.2.2025 (Kvartalsrapport (4. kvartal));19.6.2025;;; 
NORDIC MINING;NOM;NO0013162693;NOK;−1,65;−0,43;25,67;26,1;25,39;25,975;26,095;25;17918671;−4,06;4,86;−8,32;−4;58,85;−38,64;−12,48;−60;0;0;1,81;0;0;0;20;Nei;2738475324;12788;11.2.2025 (Kvartalsrapport (4. kvartal));27.5.2025;;; 
ZENITH ENERGY;ZENA;CA98936C8584;NOK;−6,85;−0,05;0,68;0,73;0,632;0,714;0,754;0,66;10666211;43,46;266,58;266,58;2,72;58,14;−41,78;−68,81;;−0,27;18,42;0,66;−2,65;0;0;0;Nei;312844232;1623;;31.1.2025;;; 
AGILYX ASA;AGLX;NO0010872468;NOK;−2,22;−0,8;35,3;36,1;35,25;35,65;36,4;35,3;130946;−0,56;0,86;6,81;−1,94;57,94;−1,81;;;3,36;−201,72;3,1;10,58;0;0;10;Nei;3904828862;491;24.4.2025 (Kvartalsrapport (4. kvartal));15.5.2025;;; 
