Name,Nordnet Symbol,Symbol,Sector
Gubra A/S,GUBRA,GUBRA.CO,Healthcare
Dataproces Group A/S,DATA,DATA.CO,Technology
MT Højgaard Holding A/S,MTHH,MTHH.CO,Industrials
BactiQuant A/S,BACTIQ,BACTIQ.CO,Industrials
Harboes Bryggeri B A/S,HARB B,HARB-B.CO,Consumer Defensive
Penneo A/S,PENNEO,PENNEO.CO,Technology
ViroGates A/S,VIRO,VIRO.CO,Healthcare
Zealand Pharma A/S,ZEAL,ZEAL.CO,Healthcare
Spar Nord Bank A/S,SPNO,SPNO.CO,Financial Services
Nexcom A/S,NEXCOM,NEXCOM.CO,Technology
Silkeborg IF Invest A/S,SIF,SIF.CO,Communication Services
UIE Plc,UIE,UIE.CO,Consumer Defensive
WindowMaster International A/S,WMA,WMA.CO,Industrials
ALK-Abelló B A/S,ALK B,ALK-B.CO,Healthcare
TROPHY GAMES Development A/S,TGAMES,TGAMES.CO,Technology
Netcompany Group A/S,NETC,NETC.CO,Technology
Skjern Bank A/S,SKJE,SKJE.CO,Financial Services
Park Street A/S A,PARKST A,PARKST-A.CO,Real Estate
Per Aarsleff Holding A/S B,PAAL B,PAAL-B.CO,Industrials
Columbus A/S,COLUM,COLUM.CO,Technology
SP Group A/S,SPG,SPG.CO,Basic Materials
TCM Group A/S,TCM,TCM.CO,Consumer Cyclical
Pandora A/S,PNDORA,PNDORA.CO,Consumer Cyclical
Danske Andelskassers Bank A/S,DAB,DAB.CO,Financial Services
Dantax A/S,DANT,DANT.CO,Technology
Movinn A/S,MOVINN,MOVINN.CO,Real Estate
Sydbank A/S,SYDB,SYDB.CO,Financial Services
Impero A/S,IMPERO,IMPERO.CO,Technology
H. Lundbeck A/S B,HLUN B,HLUN-B.CO,Healthcare
ChemoMetec A/S,CHEMM,CHEMM.CO,Healthcare
DSV A/S,DSV,DSV.CO,Industrials
Djurslands Bank A/S,DJUR,DJUR.CO,Financial Services
Roblon B A/S,RBLN B,RBLN-B.CO,Industrials
Københavns Lufthavne A/S,KBHL,KBHL.CO,Industrials
Rockwool A/S ser. A,ROCK A,ROCK-A.CO,Industrials
Rockwool A/S ser. B,ROCK B,ROCK-B.CO,Industrials
Hvidbjerg Bank A/S,HVID,HVID.CO,Financial Services
FLSmidth & Co. A/S,FLS,FLS.CO,Industrials
HusCompagniet A/S,HUSCO,HUSCO.CO,Consumer Cyclical
Sparekassen Sjælland-Fyn A/S,SPKSJF,SPKSJF.CO,Financial Services
Ringkjøbing Landbobank A/S,RILBA,RILBA.CO,Financial Services
Nordfyns Bank A/S,NRDF,NRDF.CO,Financial Services
Monsenso A/S,MONSO,MONSO.CO,Healthcare
Luxor B A/S,LUXOR B,LUXOR-B.CO,Financial Services
MapsPeople A/S,MAPS,MAPS.CO,Technology
Scandinavian Investment Group A/S,SIG,SIG.CO,Basic Materials
Matas A/S,MATAS,MATAS.CO,Consumer Cyclical
Alm. Brand A/S,ALMB,ALMB.CO,Financial Services
H. Lundbeck A/S A,HLUN A,HLUN-A.CO,Healthcare
NNIT A/S,NNIT,NNIT.CO,Technology
Kreditbanken A/S,KRE,KRE.CO,Financial Services
NKT A/S,NKT,NKT.CO,Industrials
Royal UNIBREW A/S,RBREW,RBREW.CO,Consumer Defensive
Vestjysk Bank A/S,VJBA,VJBA.CO,Financial Services
DonkeyRepublic Holding A/S,DONKEY,DONKEY.CO,Industrials
Novonesis (Novozymes A/S) B,NSIS B,NSIS-B.CO,Basic Materials
Danske Bank A/S,DANSKE,DANSKE.CO,Financial Services
Møns Bank A/S,MNBA,MNBA.CO,Financial Services
AGF A/S B,AGF B,AGF-B.CO,Communication Services
Cemat A/S,CEMAT,CEMAT.CO,Real Estate
Bavarian Nordic A/S,BAVA,BAVA.CO,Healthcare
Grønlandsbanken A/S,GRLA,GRLA.CO,Financial Services
"EgnsINVEST Ejd., Tyskland A/S",EGNETY,EGNETY.CO,Real Estate
Brdr. A & O Johansen A/S B,AOJ B,AOJ-B.CO,Industrials
Lån og Spar Bank A/S,LASP,LASP.CO,Financial Services
Lollands Bank A/S,LOLB,LOLB.CO,Financial Services
Brd. Klee B A/S,KLEE B,KLEE-B.CO,Industrials
Jyske Bank A/S,JYSK,JYSK.CO,Financial Services
FirstFarms A/S,FFARMS,FFARMS.CO,Consumer Defensive
Tryg A/S,TRYG,TRYG.CO,Financial Services
Flügger group A/S B,FLUG B,FLUG-B.CO,Basic Materials
ISS A/S,ISS,ISS.CO,Industrials
Rovsing A/S,ROV,ROV.CO,Industrials
PARKEN Sport & Entertainment A/S,PARKEN,PARKEN.CO,Communication Services
Fast Ejendom Danmark A/S,FED,FED.CO,Real Estate
Coloplast B A/S,COLO B,COLO-B.CO,Healthcare
Bang & Olufsen A/S,BO,BO.CO,Technology
OrderYOYO A/S,YOYO,YOYO.CO,Technology
FastPassCorp A/S,FASTPC,FASTPC.CO,Technology
Fynske Bank A/S,FYNBK,FYNBK.CO,Financial Services
Schouw & Co. A/S,SCHO,SCHO.CO,Industrials
Gyldendal A A/S,GYLD A,GYLD-A.CO,Communication Services
HRC World Plc,HRC,HRC.CO,Consumer Cyclical
Svitzer Group A/S,SVITZR,SVITZR.CO,Industrials
Ambu A/S,AMBU B,AMBU-B.CO,Healthcare
Glunz & Jensen Holding A/S,GJ,GJ.CO,Industrials
Copenhagen Capital A/S 40% Pref 2032,CPHCAP PREF32,CPHCAP-PREF32.CO,Real Estate
RISMA Systems A/S,RISMA,RISMA.CO,Technology
Konsolidator A/S,KONSOL,KONSOL.CO,Technology
Boozt AB,BOOZT DKK,BOOZT-DKK.CO,Consumer Cyclical
Alefarm Brewing A/S,ALEFRM,ALEFRM.CO,Consumer Defensive
Swiss Properties Invest A/S,SWISS,SWISS.CO,Real Estate
A.P. Møller - Mærsk B A/S,MAERSK B,MAERSK-B.CO,Industrials
H+H International A/S,HH,HH.CO,Basic Materials
Ørsted A/S,ORSTED,ORSTED.CO,Utilities
Copenhagen Capital A/S Stam,CPHCAP ST,CPHCAP-ST.CO,Real Estate
A.P. Møller - Mærsk A A/S,MAERSK A,MAERSK-A.CO,Industrials
Nordea Bank Abp,NDA DK,NDA-DK.CO,Financial Services
Tivoli A/S,TIV,TIV.CO,Consumer Cyclical
Nilfisk Holding A/S,NLFSK,NLFSK.CO,Industrials
LED iBond International A/S,LEDIBOND,LEDIBOND.CO,Industrials
Novo Nordisk B A/S,NOVO B,NOVO-B.CO,Healthcare
