Navn;Ticker;ISIN;Valuta;I dag %;I dag +/-;Siste;;Kjøp;Selg;Høy;Lav;Omsetning;1 uke %;1 måned %;3 måneder %;i år %;1 år %;3 år %;5 år %;10 år %;PE;PS;PB;EPS;Direkteavkastning %;Dividend Per Share;Belåningsgrad %;Kan shortes;Market Cap;Antall eiere;Report Description;General Meeting Date;Excluding Date;Dividend Date;Dividend Amount
My Beat AB;MYBEAT;SE0023440763;SEK;−5,54;−0,21;3,58;3,79;3,58;3,58;3,86;3,45;116616,61;−12,47;30,18;690,29;−7,97;3184,4;;;;−1,26;2,2;10,41;−3,06;0;0;0;Nei;32242883;204;14.3.2025 (Kvartalsrapport (3. kvartal));;;; 
PolarCool AB;POLAR;SE0023467162;SEK;−1,74;−0,14;7,9;8,04;7,44;7,88;8;7,08;41046,06;−7,49;23135,3;21251,35;−2,47;2783,21;53,1;112,37;;−4,12;13,02;7,11;−1,83;0;0;0;Nei;31145276;592;27.2.2025 (Kvartalsrapport (4. kvartal));;;; 
Carbiotix AB;CRBX;SE0022760252;SEK;2,84;0,3;10,85;10,55;10,95;11,75;11,95;10,55;9482,1;−18,11;28,86;−5,65;−6,87;2514,46;−17,18;83,9;;−3,08;38,41;2,41;−3,88;0;0;0;Nei;44934748;369;14.2.2025 (Kvartalsrapport (4. kvartal));;;; 
Respiratorius AB;RESP;SE0023314315;SEK;0,84;0,05;6;5,95;6;6,2;6,25;5,9;7526,15;−23,57;25;7692,21;−7,69;2225,58;453,51;308,16;1859,44;−2,95;0;1,2;−2,12;0;0;0;Nei;31865925;580;11.2.2025 (Kvartalsrapport (4. kvartal));;;; 
Zenergy AB ser. B;ZENZIP B;SE0023313069;SEK;10,5;0,19;2;1,81;2;2;2,24;1,81;20408,29;−2,91;−28,06;23429,41;0;2225,58;672,2;312,37;;−1,62;2,08;3,52;−1,12;0;0;0;Nei;12162282;441;28.2.2025 (Kvartalsrapport (4. kvartal));;;; 
BrandBee;BRANDB;SE0023469200;SEK;1,18;0,01;0,856;0,846;0,832;0,856;0,942;0,812;8432,19;−9,89;85500;42700;−0,23;2133,04;−37,97;−67,16;;−1,55;1,01;−1,21;−0,53;0;0;0;Nei;8206928;752;21.2.2025 (Kvartalsrapport (4. kvartal));9.5.2025;;; 
Syncro Group AB ser. B;SYNC B;SE0023287339;SEK;1,32;0,015;1,155;1,14;1,04;1,16;1,195;1,005;2321,81;12,14;5;30294,74;11,59;1504,17;28,33;−9,69;−88,22;4,59;0,11;0,27;0,25;0;0;0;Nei;20558442;811;26.2.2025 (Kvartalsrapport (4. kvartal));;;; 
Eyeon Group;EOID;SE0019763988;SEK;30,85;3,9;16,54;12,64;16,54;16,7;17,9;12,6;4683525,88;22,7;−9,12;−37,35;23,43;743,88;21,9;−69,46;;−60;19,19;5,7;−0,22;0;0;0;Nei;371604435;1064;17.2.2025 (Kvartalsrapport (4. kvartal));;;; 
oodash Group AB;OODA;SE0020699296;SEK;1,61;0,7;44,3;43,6;44,1;44,3;44,7;42,2;232428,7;11,59;−1,56;73,05;−3,28;590,03;−86,09;;;−0,82;134,86;1,29;−52,97;0;0;0;Nei;151041097;333;31.3.2025 (Kvartalsrapport (4. kvartal));;;; 
Precise Biometrics AB;PREC;SE0018013849;SEK;4,19;0,22;5,47;5,25;5,47;5,47;5,77;5,23;9550593,16;9,73;10,84;51,52;10,84;393,68;−49,88;−59,12;−32,18;−37,93;5,23;2,8;−0,15;0;0;10;Nei;432338442;2185;13.2.2025 (Kvartalsrapport (4. kvartal));22.5.2025;;; 
Isofol Medical AB;ISOFOL;SE0009581051;SEK;0,81;0,02;2,49;2,47;2,49;2,49;2,62;2,445;2030144,91;6,41;−12,63;−6,39;12,16;248,74;−73,05;−78,4;;−10,92;0;3,48;−0,24;0;0;0;Nei;422362876;1069;19.2.2025 (Kvartalsrapport (4. kvartal));21.5.2025;;; 
Enrad AB;ENRAD;SE0009994858;SEK;9,68;1,2;13,6;12,4;13,6;13,6;16;11,7;784525,6;30,77;63,86;25,93;29,52;238,31;322,36;419,08;;83,12;9,04;13,95;0,16;0;0;0;Nei;351537552;109;28.2.2025 (Kvartalsrapport (4. kvartal));;;; 
Odinwell AB;ODIN;SE0015809967;SEK;−1,96;−0,06;3;3,06;3;3,18;3,24;3;30034,78;−6,25;−13,29;197,03;−5,06;235,2;−25;;;−14,09;0;1,98;−0,23;0;0;0;Nei;76714560;260;13.2.2025 (Kvartalsrapport (4. kvartal));;;; 
Observit AB;OBSE;SE0017911704;SEK;2,36;0,011;0,456;0,445;0,456;0,456;0,47;0,44;129660,76;−0,76;−3,8;55,73;1,45;227,7;;;;151,83;4,62;13,81;0;0;0;0;Nei;250226253;1439;13.2.2025 (Kvartalsrapport (4. kvartal));;;; 
Verve Group SE;VER;SE0018538068;SEK;−6,46;−2,35;34,05;36,4;34,05;34,05;36,25;33,85;24640668,56;−5,55;−16,44;−14,12;−4,76;196,09;−25,33;;;31,16;1,47;1,69;1,14;0;0;40;Nei;6606383726;1781;27.2.2025 (Kvartalsrapport (4. kvartal));11.6.2025;;; 
Briox;BRIX;SE0008588131;SEK;4,76;0,3;6,6;6,3;6,35;6,6;6,8;6,35;516406,6;26,92;75,53;230;16,81;184,48;43,52;−43,08;−53,25;−16,72;34,85;11,78;−0,4;0;0;0;Nei;439625439;409;11.2.2025 (Kvartalsrapport (4. kvartal));;;; 
CodeMill AB;CDMIL;SE0013914819;SEK;−3,23;−0,5;15;15,5;15;15,4;15,4;15;86107,5;−3,23;−6,25;−16,67;−6,25;172,73;49,7;;;21,71;2,28;4,51;0,7;0;0;0;Nei;207049126;293;14.2.2025 (Kvartalsrapport (4. kvartal));29.4.2025;;; 
Perpetua Medical AB ser. B;PERP B;SE0022726311;SEK;−5;−0,2;3,8;4;3,64;3,8;3,8;3,64;70200,88;−12,44;−21,16;−14,61;−11,22;171,12;−99,24;−99;;−2,59;3,21;2,13;−1,47;0;0;0;Nei;17182361;282;14.2.2025 (Kvartalsrapport (4. kvartal));;;; 
ShaMaran Petroleum Corp;SNM;CA8193201024;SEK;1,6;0,015;0,955;0,94;0,955;0,955;0,97;0,94;2906950,85;7,67;3,8;74,27;3,8;169,77;171,92;113,18;52,72;4,8;1,66;1,91;0,2;0;0;30;Nei;2690586148;1085;12.3.2025 (Kvartalsrapport (4. kvartal));;;; 
Diamyd Medical AB ser. B;DMYD B;SE0005162880;SEK;5,51;0,94;18;17,06;18;18;18,1;16,92;5535738,65;8,83;23,63;22,78;9,49;168,77;18,92;−23,14;309,09;−12,1;13639,03;12,15;−1,47;0;0;;Nei;1850687805;2111;29.1.2025 (Kvartalsrapport (1. kvartal));;;; 
Hoist Finance AB;HOFI;SE0006887063;SEK;1,6;1,5;95;93,5;95;95;95,9;91,6;14578077,1;5,32;2,48;10,85;5,2;155,38;225,34;85,37;;9,74;2,16;1,41;9,78;0;0;50;Ja;8676652214;1029;7.2.2025 (Kvartalsrapport (4. kvartal));8.5.2025;;; 
Serstech AB;SERT;SE0005365095;SEK;2,22;0,03;1,38;1,35;1,38;1,38;1,4;1,3;943123,07;23,21;10,4;21,05;7,81;153,68;18,07;−52,71;−41,91;−79,58;8,2;7,37;−0,02;0;0;0;Nei;353503475;555;27.2.2025 (Kvartalsrapport (4. kvartal));28.4.2025;;; 
Hamlet BioPharma AB ser. B;HAMLET B;SE0015661152;SEK;2,22;0,08;3,68;3,6;3,61;3,65;3,89;3,59;87218,36;−5,88;15;−12,17;−1,6;151,19;−39,17;−70,95;;−18,84;0;9,95;−0,2;0;0;0;Nei;666319226;980;13.2.2025 (Kvartalsrapport (2. kvartal));20.11.2025;;; 
RaySearch Laboratories AB ser. B;RAY B;SE0000135485;SEK;−1,12;−2,5;220;222,5;220;220;223,5;218,5;13159761;5,77;3,29;41,39;1,85;146,64;289,38;99,46;313,15;43,63;6,53;10,37;5,1;0,9;2;50;Nei;7610775606;1734;21.2.2025 (Kvartalsrapport (4. kvartal));22.5.2025;;; 
Terranet AB ser. B;TERRNT B;SE0009806045;SEK;6,33;0,01;0,168;0,158;0,168;0,168;0,169;0,159;478665,9;5,79;10,24;−23,64;15,23;145,61;−90,88;−90,98;;−6,52;0;3,23;−0,03;0;0;0;Nei;198161081;1263;6.2.2025 (Kvartalsrapport (4. kvartal));22.5.2025;;; 
eBlitz Group;EBLITZ;SE0009580756;SEK;−0,7;−0,01;1,42;1,43;1,16;1,39;1,42;1,22;3575,1;42;18,33;−13,41;−4,7;144,83;−41,08;−25,26;;−3,29;17,56;1,03;−0,43;0;0;0;Nei;26518505;324;11.6.2025 (Kvartalsrapport (4. kvartal));11.9.2025;;; 
Intellego Technologies AB;INT;SE0016075063;SEK;−0,25;−0,1;40,7;40,8;40,7;40,7;41,3;40,4;2651803,13;3,56;−9,86;60,55;−0,73;141,4;133,91;;;11,45;4,58;8;3,56;0;0;0;Nei;1210114862;810;28.2.2025 (Kvartalsrapport (4. kvartal));;;; 
EQL Pharma AB;EQL;SE0005497732;SEK;0;0;84;84;84;84;88;83;2677247,7;5,26;11,11;48,94;3,7;140,69;116,49;564,03;2176,42;79,81;7,85;13,97;1,07;0;0;30;Nei;2482032294;648;5.2.2025 (Kvartalsrapport (3. kvartal));21.8.2025;;; 
